SCHOOL_KEY,FACILITY_KEY,SCHOOL_CODE,SCHOOL_DISTRICT_CODE,STATE_DISTRICT_CODE,SCHOOL_DISTRICT,SCHOOL_NAME,SCHOOL_LONG_NAME,ACTIVE_DIRECTORY_SCHOOL_NAME,GOVERNANCE,NETWORK,SCHOOL_STATUS,OPEN_FOR_ENROLLMENT_DATE,CLOSED_FOR_ENROLLMENT_DATE,SCHOOL_SUBTYPE,SCHOOL_GRADES_GROUP,SCHOOL_CURRENT_GRADES,SCHOOL_PLANNED_GRADES,NETWORK_CHIEF,SCHOOL_PRINCIPAL,SCHOOL_STATE_ID,FINANCE_ACCOUNT_ID,FINANCE_ACCOUNT_NAME,SCHOOL_STATE_NAME,SCHOOL_URL,SCHOOL_COMMENTS,POPULATION_FOCUS,EAST_WEST_COORDINATES,EAST_WEST_DIRECTION,NORTH_SOUTH_COORDINATES,NORTH_SOUTH_DIRECTION,LONGITUDE,LATITUDE,SECONDARY_ADDRESS,SECONDARY_ADDRESS_IDENTIFIER,STREET_NUMBER,ADDRESS_DIRECTION_PRE,STREET_NAME,STREET_TYPE,ADDRESS_DIRECTION_POST,CITY,STATE,POSTAL_CODE,ROLLUP_INDICATOR,THERAPEUTIC_INDICATOR,GRADE_CATEGORY_SECONDARY,SCHOOL_FEDERAL_ID,PRINCIPAL_STAFF_ID,PRINCIPAL_NAME,PRINCIPAL_EMAIL,PRIMARY_PHONE_NUMBER,PRIMARY_FAX_NUMBER,SECONDARY_PHONE_NUMBER,SECONDARY_FAX_NUMBER,OFFICIAL_ADDRESS,DELIVERY_ADDRESS,CITY_WARD_NUMBER,CITY_WARD_NAME,MAIL_RUN,SCHOOL_HOURS,SCHOOL_POPULATION_FOCUS,LEGACY_UNIT_NUMBER,GEO_NETWORK,CATEGORY_BID,SAFE_PASSAGE_INDICATOR,SELECTIVE_ENROLLMENT_TYPE,SCHOOL_OPERATION_TYPE,ES_NETWORK,COMMUNITY,ANNUAL_REGIONAL_ANALYSIS_REGION,ERSB_DISTRICT,ATTENDANCE_BOUNDARY,ERSB_REPRESENTATIVE_IDENTIFIER,ERSB_REPRESENTATIVE_NAME,ERSB_REPRESENTATIVE_PHONE_NUMBER,ERSB_REPRESENTATIVE_FAX,OFFICIAL_ADDRESS_EAST_WEST_COORDINATES,OFFICIAL_ADDRESS_EAST_WEST_DIRECTION,OFFICIAL_ADDRESS_NORTH_SOUTH_COORDINATES,OFFICIAL_ADDRESS_NORTH_SOUTH_DIRECTION,OFFICIAL_ADDRESS_LATITUDE,OFFICIAL_ADDRESS_LONGITUDE,DELIVERY_ADDRESS_EAST_WEST_COORDINATES,DELIVERY_ADDRESS_EAST_WEST_DIRECTION,DELIVERY_ADDRESS_NORTH_SOUTH_COORDINATES,DELIVERY_ADDRESS_NORTH_SOUTH_DIRECTION,DELIVERY_ADDRESS_LATITUDE,DELIVERY_ADDRESS_LONGITUDE,COMMUNITY_BASED_ORGANIZATION_INDICATOR,TERMINATING_GRADE_LEVEL,SYS_DELETE_STATUS,CREATED_TS,LAST_UPDATED_TS
553,1205,400009,299,15-016-2990-25,Chicago Public Schools District 299,GLOBAL CITIZENSHIP,Academy for Global Citizenship Charter School,GLOBAL_CITIZENSHIP,Charter,Charter,Open,2008-07-01,,General Curriculum,Elementary,"K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",,Ms. Berenice Salas,15016299025229C,63011,,Academy for Global Citizenship,https://agcchicago.org,,,4942,W,4400,S,-87.74752,41.81315,,,4942,W,44TH,ST,,Chicago,IL,60638-1959,N,N,,170993006035,C100002076,Ms. Berenice Salas,bsalas@agcchicago.org,773-582-1100,773-582-1101,,,4942 W 44TH ST  Chicago IL 60638-1959 4942 W 4400 S 41.81315 -87.74752,4942 W 44TH ST  Chicago IL 60638-1959 4942 W 4400 S 41.8131529008685 -87.7475238015804,22,22nd Ward,44,7:45 AM - 3:55 PM,,2025,Network 8,150162990BHBH00,,,Day,Network 8,GARFIELD RIDGE,Greater Midway,District 7a,Citywide,Emma Lozano,Emma Lozano,,,4942,W,4400,S,41.81315,-87.74752,4942,W,4400,S,41.8131529008685,-87.7475238015804,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
555,573,400011,299,15-016-2990-25,Chicago Public Schools District 299,LOCKE A,Alain Locke Charter School,LOCKE_A,Charter,Charter,Open,2004-09-01,,General Curriculum,Elementary,"K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",,Mr. Patrick Love,15016299025206C,66151,Alain Locke Charter School,Locke A Elem Charter Academy,https://www.alainlocke.org,,,3141,W,300,S,-87.7053,41.8773,,,3141,W,Jackson,BLVD,,Chicago,IL,60612,N,N,,170993003564,C100000114,Mr. Patrick Love,plove@alainlocke.org,773-265-7232,773-265-7258,,,3141 W Jackson BLVD  Chicago IL 60612 3141 W 300 S 41.8773 -87.7053,3141 W JACKSON BLVD  Chicago IL 60612 3141 W 300 S 41.8773 -87.7052,28,28th Ward,38,8:15 AM - 3:45 PM,,4730,Network 5,150162990ACAC00,,,Day,Network 5,EAST GARFIELD PARK,West Side,District 5b,Citywide,Michilla Blaise,Michilla Blaise,,,3141,W,300,S,41.8773,-87.7053,3141,W,300,S,41.8773,-87.7052,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
559,594,400017,299,15-016-2990-25,Chicago Public Schools District 299,ASPIRA - HAUGAN,ASPIRA Charter School - Haugan Middle School,ASPIRA_-_HAUGAN,Charter,Charter,Closed,2004-09-01,2025-06-30,Small,Elementary,"6,7,8","6,7,8",,Mr. Leon Hart,15016299025110C,66351,ASPIRA Charter-Haugan Middle School Campus,ASPIRA Charter Schools,https://haugan.aspirail.org,,,3729,W,4700,N,-87.7218,41.96646,,,3729,W,Leland,AVE,,Chicago,IL,60625,N,N,Middle,170993006516,C200023532,Mr. Leon Hart,"lhart@aspirail.org
",773-303-3549,773-267-3568,,,3729 W Leland AVE  Chicago IL 60625 3729 W 4700 N 41.96646 -87.7218,3729 W LELAND AVE  Chicago IL 60625 3729 W 4700 N 41.9664 -87.7218,33,33rd Ward,31,8:00 AM - 4:00 PM,,3500,Network 1,150162990APAP01,,,Day,Network 1,ALBANY PARK,Northwest Side,District 3a,Attendance-Area,Norma Rios-Sierra,Norma Rios-Sierra,,,3729,W,4700,N,41.96646,-87.7218,3729,W,4700,N,41.9664,-87.7218,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
563,1039,400021,299,15-016-2990-25,Chicago Public Schools District 299,CATALYST - CIRCLE ROCK,Catalyst Elementary Charter School - Circle Rock,CATALYST_-_CIRCLE_ROCK,Charter,Charter,Open,2007-07-01,,General Curriculum,Elementary,"K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",,Ms. Elizabeth Jamison-Dunn,15016299025228C,66432,Catalyst Elementary School - Circle Rock,Catalyst Charter-Circle Rock ES,https://catalystschools.org/circle-rock,,,5608,W,100,N,-87.7654,41.88227,,,5608,W,Washington,BLVD,,Chicago,IL,60644,N,N,,170993005935,C100000271,Ms. Elizabeth Jamison-Dunn,edunn@catalystschools.org,773-945-5025,312-626-2345,,,5608 W Washington BLVD  Chicago IL 60644 5608 W 100 N 41.88227 -87.7654,5608 W WASHINGTON BLVD  Chicago IL 60644 5608 W 100 N 41.8823 -87.7653,29,29th Ward,36,8:00 am-3:30 pm,,4371,Network 3,150162990BLBL00,,,Day,Network 3,AUSTIN,West Side,District 5a,Citywide,Jitu Brown,Jitu Brown,,,5608,W,100,N,41.88227,-87.7654,5608,W,100,N,41.8823,-87.7653,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
568,828,400026,299,15-016-2990-25,Chicago Public Schools District 299,CICS - LOOMIS,CICS - Loomis Primary,CICS_-_LOOMIS,Charter,Charter,Open,2008-07-01,,General Curriculum,Elementary,"K,1,2","K,1,2",,Ms. JoeAnn Nash,15016299025255C,66075,Chicago Int't Charter - Loomis Primary,CICS - Loomis Primary Campus,https://www.cicsloomis.org,,,1400,W,9535,S,-87.6576,41.72025,,,9535,S,Loomis,ST,,Chicago,IL,60643,N,N,,170993006487,C200006307,Ms. JoeAnn Nash,Jonash@distinctiveschools.org,773-429-8955,773-429-8441,,,9535 S Loomis ST  Chicago IL 60643 1400 W 9535 S 41.72025 -87.6576,9535 S LOOMIS ST  Chicago IL 60643 1400 W 9535 S 41.7202 -87.6576,21,21st Ward,49,7:50 AM - 3:45 PM,,4914,Network 11,150162990AEAE12,,,Day,Network 11,WASHINGTON HEIGHTS,South Side,District 9b,Citywide,Therese Boyle,Therese Boyle,,,1400,W,9535,S,41.72025,-87.6576,1400,W,9535,S,41.7202,-87.6576,S.CommunitityBasedOrganizationIndicator,02,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
570,572,400028,299,15-016-2990-25,Chicago Public Schools District 299,CICS - PRAIRIE,CICS - Prairie,CICS_-_PRAIRIE,Charter,Charter,Open,2004-09-01,,Small,Elementary,"K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",,Ms. Rachel Beucher,15016299025248C,66161,Chicago International Charter School (CICS)- Prairie Campus,CICS - Prairie Campus,https://www.cicsprairie.org,,,300,E,11530,S,-87.6168,41.68445,,,11530,S,Prairie,AVE,,Chicago,IL,60628,N,N,,170993006498,C100009761,Ms. Rachel Beucher,rbeucher@distinctiveschools.org,773-928-0480,773-928-6971,,,11530 S Prairie AVE  Chicago IL 60628 300 E 11530 S 41.68445 -87.6168,11530 S PRAIRIE AVE  Chicago IL 60628 300 E 11530 S 41.6844 -87.6169,9,9th Ward,48,8:30 AM - 3:30 PM,,4220,Network 13,150162990AEAE03,,,Day,Network 13,WEST PULLMAN,Greater Calumet,District 9b,Citywide,Therese Boyle,Therese Boyle,,,300,E,11530,S,41.68445,-87.6168,300,E,11530,S,41.6844,-87.6169,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
571,569,400029,299,15-016-2990-25,Chicago Public Schools District 299,CICS - WASHINGTON PARK,CICS - Washington Park,CICS_-_WASHINGTON_PARK,Charter,Charter,Open,2004-09-01,,Small,Elementary,"K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",,James Johnstone,15016299025249C,66181,Chicago International Charter School (CICS)- Washington Park Campus,CICS - Washington Pk Campus,https://regenerationschools.org/cics-washington-park,,,100,E,6105,S,-87.6217,41.78381,,,110,E,61st,ST,,Chicago,IL,60637,N,N,,170993006512,C100010967,James Johnstone,jjohnstone@cicswashingtonpark.org,773-347-0200,773-324-3302,,,110 E 61st ST  Chicago IL 60637 100 E 6105 S 41.78381 -87.6217,6105 S MICHIGAN AVE  Chicago IL 60637 100 E 6105 S 41.7836 -87.6221,20,20th Ward,45,7:45 AM-3:30 PM,,2290,Network 9,150162990AEAE04,,,Day,Network 9,WASHINGTON PARK,Bronzeville / South Lakefront,District 6b,Citywide,Jessica Biggs,Jessica Biggs,,,100,E,6105,S,41.78381,-87.6217,100,E,6105,S,41.7836,-87.6221,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
575,570,400033,299,15-016-2990-25,Chicago Public Schools District 299,CICS - LONGWOOD,CICS - Longwood,CICS_-_LONGWOOD,Charter,Charter,Open,2004-09-01,,Small,High,"3,4,5,6,7,8,9,10,11,12","3,4,5,6,7,8,9,10,11,12",,Ms. Jeralyn Harris,15016299025247C,66061,Chicago International Charter School (CICS)- Longwood Campus,CICS - Longwood Campus,https://dschi.org,,,1309,W,9500,S,-87.6558,41.72128,,,1309,W,95th,ST,,Chicago,IL,60643,N,N,,170993006438,C200011532,Ms. Jeralyn Harris,jharris@distinctiveschools.org,773-238-5330,773-238-5350,,,1309 W 95th ST  Chicago IL 60643 1309 W 9500 S 41.72128 -87.6558,1309 W 95TH ST  Chicago IL 60643 1309 W 9500 S 41.7212 -87.6558,21,21st Ward,49,Elementary 8:30 AM-3:30 PM  & HS 8:15 AM - 3:30 PM,,2420,Network 16,150162990AEAE02,,Non,Day,Network 11,WASHINGTON HEIGHTS,South Side,District 9b,Citywide,Therese Boyle,Therese Boyle,,,1309,W,9500,S,41.72128,-87.6558,1309,W,9500,S,41.7212,-87.6558,S.CommunitityBasedOrganizationIndicator,12,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
576,580,400034,299,15-016-2990-25,Chicago Public Schools District 299,CICS - NORTHTOWN HS,CICS - Northtown,CICS_-_NORTHTOWN_HS,Charter,Charter,Open,2004-09-01,,Small,High,"9,10,11,12","9,10,11,12",,Marivenus Garcia,15016299025082C,66241,Chicago International Charter School (CICS)- Northtown Campus,CICS - Northtown  Campus,https://cicsnorthtown.org/,,,3900,W,6000,N,-87.7266,41.99019,,,3900,W,Peterson,AVE,,Chicago,IL,60659,N,N,,170993006500,C200035518,Marivenus Garcia,mgarcia@meridiancharterschools.org,773-478-3655,773-478-6029,,,3900 W Peterson AVE  Chicago IL 60659 3900 W 6000 N 41.99019 -87.7266,3900 W PETERSON AVE  Chicago IL 60659 3900 W 6000 N 41.9902 -87.7265,39,39th Ward,31,8:00am,,7740,Network 14,150162990AEAE06,,Non,Day,Network 1,NORTH PARK,Northwest Side,District 1a,Attendance-Area,Ed Bannon,Ed Bannon,,,3900,W,6000,N,41.99019,-87.7266,3900,W,6000,N,41.9902,-87.7265,S.CommunitityBasedOrganizationIndicator,12,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
581,587,400039,299,15-016-2990-25,Chicago Public Schools District 299,ERIE,Erie Elementary Charter School,ERIE,Charter,Charter,Open,2004-09-01,,General Curriculum,Elementary,"K,1,2,3,4,5,6,7,8","K,1,2,3,4,5,6,7,8",,Karem Gomez,15016299025219C,66331,,Erie Elem Charter School,http://www.eriecharterschool.org,,,2700,W,1405,N,-87.6944,41.9068,,,1405,N,Washtenaw,AVE,,Chicago,IL,60622,N,N,,170993005797,C200007296,Karem Gomez,kgomez@eriecharterschool.org,773-486-7161,773-486-7234,,,1405 N Washtenaw AVE  Chicago IL 60622 2700 W 1405 N 41.9068 -87.6944,1405 N WASHTENAW AVE  Chicago IL 60622 2700 W 1405 N 41.9068 -87.6944,26,26th Ward,35,8:00 am-3:15 pm,,5780,Network 5,150162990AXAX00,,,Day,Network 5,WEST TOWN,Greater Milwaukee Avenue,District 3b,Citywide,Carlos A Rivas Jr,Carlos A Rivas Jr,,,2700,W,1405,N,41.9068,-87.6944,2700,W,1405,N,41.9068,-87.6944,S.CommunitityBasedOrganizationIndicator,08,false,2026-04-29 18:28:34.450659,2026-05-01 04:17:28.514281
